VideoId,Label
157,Swiping Up
217,Swiping Up
232,Swiping Up
250,Swiping Up
336,Swiping Up
447,Swiping Up
454,Swiping Up
631,Swiping Up
684,Swiping Up
885,Swiping Up
953,Swiping Up
1009,Swiping Up
1018,Swiping Up
1067,Swiping Up
1092,Swiping Up
1113,Swiping Up
1248,Swiping Up
1400,Swiping Up
1483,Swiping Up
1515,Swiping Up
1607,Swiping Up
1641,Swiping Up
1703,Swiping Up
1781,Swiping Up
1787,Swiping Up
1794,Swiping Up
1959,Swiping Up
1963,Swiping Up
1985,Swiping Up
1989,Swiping Up
2051,Swiping Up
2127,Swiping Up
2208,Swiping Up
2296,Swiping Up
2323,Swiping Up
2438,Swiping Up
2504,Swiping Up
2625,Swiping Up
2642,Swiping Up
2647,Swiping Up
2766,Swiping Up
2801,Swiping Up
3065,Swiping Up
3286,Swiping Up
3332,Swiping Up
3336,Swiping Up
3395,Swiping Up
3459,Swiping Up
3578,Swiping Up
3605,Swiping Up
3703,Swiping Up
3716,Swiping Up
3736,Swiping Up
3903,Swiping Up
3972,Swiping Up
4003,Swiping Up
4023,Swiping Up
4044,Swiping Up
4093,Swiping Up
4293,Swiping Up
4430,Swiping Up
4562,Swiping Up
4586,Swiping Up
4595,Swiping Up
4604,Swiping Up
4751,Swiping Up
4795,Swiping Up
4871,Swiping Up
4984,Swiping Up
4996,Swiping Up
5049,Swiping Up
5085,Swiping Up
5231,Swiping Up
5238,Swiping Up
5242,Swiping Up
5252,Swiping Up
5363,Swiping Up
5364,Swiping Up
5383,Swiping Up
5394,Swiping Up
5435,Swiping Up
5648,Swiping Up
5707,Swiping Up
5721,Swiping Up
5745,Swiping Up
5764,Swiping Up
5817,Swiping Up
5829,Swiping Up
5930,Swiping Up
6099,Swiping Up
6114,Swiping Up
6150,Swiping Up
6200,Swiping Up
6304,Swiping Up
6339,Swiping Up
6345,Swiping Up
6495,Swiping Up
6606,Swiping Up
7065,Swiping Up
7131,Swiping Up
7237,Swiping Up
7468,Swiping Up
7525,Swiping Up
7551,Swiping Up
7564,Swiping Up
7712,Swiping Up
7791,Swiping Up
7802,Swiping Up
7992,Swiping Up
8120,Swiping Up
8148,Swiping Up
8208,Swiping Up
8271,Swiping Up
8365,Swiping Up
8423,Swiping Up
8566,Swiping Up
8587,Swiping Up
8671,Swiping Up
8787,Swiping Up
8852,Swiping Up
9141,Swiping Up
9196,Swiping Up
9347,Swiping Up
9391,Swiping Up
9476,Swiping Up
9483,Swiping Up
9526,Swiping Up
9598,Swiping Up
9694,Swiping Up
9949,Swiping Up
10042,Swiping Up
10077,Swiping Up
10356,Swiping Up
10427,Swiping Up
10511,Swiping Up
10618,Swiping Up
10745,Swiping Up
10932,Swiping Up
10988,Swiping Up
11102,Swiping Up
11351,Swiping Up
11447,Swiping Up
11495,Swiping Up
11514,Swiping Up
11527,Swiping Up
11601,Swiping Up
11758,Swiping Up
11771,Swiping Up
11861,Swiping Up
11912,Swiping Up
11949,Swiping Up
11954,Swiping Up
12148,Swiping Up
12166,Swiping Up
12333,Swiping Up
12363,Swiping Up
12365,Swiping Up
12392,Swiping Up
12581,Swiping Up
12791,Swiping Up
12874,Swiping Up
12877,Swiping Up
12945,Swiping Up
13000,Swiping Up
13110,Swiping Up
13244,Swiping Up
13320,Swiping Up
13390,Swiping Up
13428,Swiping Up
13650,Swiping Up
13652,Swiping Up
13712,Swiping Up
13819,Swiping Up
13853,Swiping Up
14011,Swiping Up
14072,Swiping Up
14334,Swiping Up
14484,Swiping Up
14561,Swiping Up
14609,Swiping Up
14642,Swiping Up
14715,Swiping Up
14829,Swiping Up
14907,Swiping Up
14958,Swiping Up
15086,Swiping Up
15096,Swiping Up
15157,Swiping Up
15397,Swiping Up
15430,Swiping Up
15436,Swiping Up
15551,Swiping Up
15598,Swiping Up
15626,Swiping Up
15670,Swiping Up
15682,Swiping Up
15693,Swiping Up
15773,Swiping Up
15925,Swiping Up
15951,Swiping Up
15996,Swiping Up
16364,Swiping Up
16373,Swiping Up
16376,Swiping Up
16378,Swiping Up
16449,Swiping Up
16479,Swiping Up
16564,Swiping Up
16601,Swiping Up
16607,Swiping Up
16824,Swiping Up
16932,Swiping Up
17124,Swiping Up
17239,Swiping Up
17322,Swiping Up
17328,Swiping Up
17392,Swiping Up
17633,Swiping Up
17831,Swiping Up
17853,Swiping Up
17910,Swiping Up
17911,Swiping Up
17995,Swiping Up
18087,Swiping Up
18144,Swiping Up
18320,Swiping Up
18550,Swiping Up
18662,Swiping Up
18805,Swiping Up
18864,Swiping Up
18968,Swiping Up
19063,Swiping Up
19070,Swiping Up
19307,Swiping Up
19345,Swiping Up
19592,Swiping Up
19597,Swiping Up
19682,Swiping Up
19694,Swiping Up
19736,Swiping Up
19838,Swiping Up
19844,Swiping Up
19859,Swiping Up
19867,Swiping Up
19873,Swiping Up
19906,Swiping Up
19973,Swiping Up
20226,Swiping Up
20279,Swiping Up
20316,Swiping Up
20332,Swiping Up
20342,Swiping Up
20528,Swiping Up
20649,Swiping Up
20781,Swiping Up
20791,Swiping Up
20860,Swiping Up
20916,Swiping Up
21033,Swiping Up
21215,Swiping Up
21227,Swiping Up
21241,Swiping Up
21363,Swiping Up
21467,Swiping Up
21575,Swiping Up
21686,Swiping Up
22038,Swiping Up
22066,Swiping Up
22144,Swiping Up
22167,Swiping Up
22197,Swiping Up
22249,Swiping Up
22292,Swiping Up
22384,Swiping Up
22407,Swiping Up
22513,Swiping Up
22517,Swiping Up
22535,Swiping Up
22592,Swiping Up
22625,Swiping Up
22976,Swiping Up
23074,Swiping Up
23198,Swiping Up
23261,Swiping Up
23323,Swiping Up
23350,Swiping Up
23359,Swiping Up
23521,Swiping Up
23701,Swiping Up
23740,Swiping Up
23742,Swiping Up
23911,Swiping Up
23928,Swiping Up
23967,Swiping Up
23992,Swiping Up
24025,Swiping Up
24065,Swiping Up
24073,Swiping Up
24162,Swiping Up
24236,Swiping Up
24329,Swiping Up
24354,Swiping Up
24401,Swiping Up
24462,Swiping Up
24542,Swiping Up
24788,Swiping Up
24812,Swiping Up
24937,Swiping Up
25084,Swiping Up
25129,Swiping Up
25178,Swiping Up
25196,Swiping Up
25204,Swiping Up
25505,Swiping Up
25517,Swiping Up
